name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
ESADE,poi,Barcelona,41.393671386199,2.1145648955414,6,760,"[88, 51, 59, 53, 59, 34, 46, 40, 80, 99, 93, 58]",422.3888888888889
Paso de Zebra festival,attraction,Barcelona,41.4065390754,2.10590391369,7,345,"[2, 58, 49, 32, 72, 116, 11, 2, 0, 1, 2, 0]",1303.6875
Cervecería Catalana,restaurant,Barcelona,41.392372,2.160817,6,302,"[14, 28, 26, 26, 32, 22, 40, 31, 27, 25, 18, 13]",53.97222222222222
Restaurante Boca Grande,restaurant,Barcelona,41.394458,2.159892,6,263,"[19, 21, 29, 33, 29, 22, 26, 12, 30, 21, 10, 11]",56.243055555555564
Kiosko,restaurant,Barcelona,41.383474,2.18378,7,260,"[19, 18, 26, 20, 33, 19, 25, 30, 31, 18, 11, 10]",50.72222222222223
Ciudad Condal,restaurant,Barcelona,41.38881,2.166805,6,218,"[13, 14, 20, 22, 15, 16, 21, 31, 18, 23, 16, 9]",30.138888888888886
federal café,restaurant,Barcelona,41.376813,2.162862,6,193,"[3, 11, 20, 31, 22, 11, 24, 19, 15, 20, 11, 6]",59.24305555555555
Casa Amatller,attraction,Barcelona,41.391586,2.165124,6,174,"[3, 13, 13, 11, 13, 15, 13, 26, 24, 25, 15, 3]",51.583333333333336
Can Paixano,restaurant,Barcelona,41.381708,2.183421,6,151,"[12, 7, 16, 14, 9, 12, 20, 15, 9, 18, 9, 10]",15.076388888888888
Bar Lobo,restaurant,Barcelona,41.383227,2.170578,6,140,"[5, 9, 7, 10, 19, 13, 10, 25, 12, 19, 6, 5]",36.888888888888886
Cornelia and Co.,restaurant,Barcelona,41.391157300191,2.1611435212798,6,134,"[11, 19, 11, 20, 11, 11, 5, 7, 10, 8, 9, 12]",17.63888888888889
Restaurante Bacoa,restaurant,Barcelona,41.385514,2.178902,6,123,"[14, 4, 10, 8, 9, 7, 20, 6, 13, 13, 11, 8]",17.020833333333332
Alsur Café (El Born),restaurant,Barcelona,41.386636,2.179974,7,120,"[7, 7, 16, 21, 15, 7, 5, 9, 9, 13, 6, 5]",23.833333333333332
Museu Nacional d'Art de Catalunya,attraction,Barcelona,41.36844,2.15357,6,115,"[9, 4, 2, 6, 21, 17, 9, 13, 9, 12, 5, 8]",27.409722222222225
Cosmo,restaurant,Barcelona,41.387461,2.162675,6,112,"[10, 5, 6, 16, 12, 11, 12, 12, 13, 6, 6, 3]",14.555555555555555
El Filete Ruso,restaurant,Barcelona,41.392578,2.155897,6,103,"[4, 5, 14, 11, 5, 10, 15, 7, 8, 18, 2, 4]",23.409722222222218
Montjuïc Castle,attraction,Barcelona,41.36401,2.165508,6,103,"[9, 7, 5, 4, 4, 13, 10, 10, 16, 14, 6, 5]",15.409722222222221
Brunch & Cake,restaurant,Barcelona,41.388325933511,2.1617000311168,7,102,"[1, 4, 4, 3, 9, 14, 6, 17, 19, 16, 7, 2]",37.25
Can Kenji,restaurant,Barcelona,41.400539,2.166548,6,101,"[9, 3, 17, 3, 11, 7, 9, 5, 8, 12, 11, 6]",14.90972222222222
Tibidabo,attraction,Barcelona,41.421458456217,2.1196532249451,6,100,"[3, 4, 4, 13, 10, 4, 10, 15, 11, 16, 6, 4]",20.555555555555554
Les Quinze Nits,restaurant,Barcelona,41.380247824363,2.1750871263476,6,87,"[3, 2, 3, 6, 8, 4, 9, 12, 13, 13, 6, 8]",14.1875
Makamaka,restaurant,Barcelona,41.375988961858,2.1887182229082,6,86,"[1, 6, 3, 7, 11, 7, 11, 16, 12, 11, 0, 1]",24.305555555555557
Nanaya Restaurant,restaurant,Barcelona,41.405007,2.194675,6,84,"[3, 3, 4, 7, 4, 6, 5, 19, 11, 10, 6, 6]",18.833333333333332
Tarannà,restaurant,Barcelona,41.376205,2.161725,6,82,"[5, 13, 11, 14, 3, 10, 4, 7, 10, 2, 3, 0]",19.805555555555557
Bracafé,restaurant,Barcelona,41.388786,2.170102,6,81,"[1, 1, 8, 9, 4, 4, 8, 7, 16, 4, 10, 9]",16.520833333333332
Mercat Princesa,restaurant,Barcelona,41.385458,2.181986,6,74,"[0, 0, 0, 0, 16, 8, 7, 17, 15, 6, 5, 0]",40.63888888888888
Tommy Mel's,restaurant,Barcelona,41.440977,2.198408,6,61,"[2, 2, 1, 3, 5, 4, 17, 13, 2, 6, 3, 3]",22.07638888888889
Bestial,restaurant,Barcelona,41.386193,2.197689,6,56,"[2, 1, 1, 2, 4, 11, 9, 11, 8, 6, 1, 0]",15.722222222222221
Merbeyé,attraction,Barcelona,41.41611624969,2.1314120292664,9,41,"[0, 0, 0, 1, 1, 35, 0, 0, 2, 0, 2, 0]",91.24305555555553
"INSA Business, Marketing & Communication School",poi,Barcelona,41.4039336877,2.11670261381,6,39,"[0, 8, 2, 0, 0, 7, 12, 1, 1, 8, 0, 0]",16.6875
Piscines Bernat Picornell,attraction,Barcelona,41.365989643701,2.1511515038045,6,35,"[1, 1, 0, 1, 0, 1, 23, 5, 2, 1, 0, 0]",38.409722222222214
Bacoa Universitat,restaurant,Barcelona,41.387046,2.167265,7,31,"[0, 0, 0, 0, 0, 0, 0, 0, 16, 12, 3, 0]",27.409722222222214
Bar La Palmera,restaurant,Barcelona,41.408936874092,2.148470394605,6,23,"[0, 0, 1, 0, 1, 2, 2, 0, 16, 1, 0, 0]",18.57638888888889
